Label,Class,Dice,IoU,Sensitivity,Specificity,Precision,F1,HD95 (mm),HD_Max (mm),Pred_Vol (cm3),GT_Vol (cm3),VolErr (cm3),VolErr (%),TP,FP,FN,TN
1,Liver Parenchyma,0.8826,0.7898,0.9051,0.9957,0.8611,0.8826,6.18,30.04,212.109,201.798,10.311,5.11,54118,8729,5674,2028631
2,Tumor / Lesion,0.7059,0.5455,0.7486,0.9999,0.6678,0.7059,3.0,5.41,2.062,1.839,0.223,12.11,408,203,137,2096404
-1,Whole Liver (liver+tumor),0.8849,0.7935,0.9078,0.9957,0.8631,0.8849,,,214.171,203.637,10.533,5.17,54771,8687,5566,2028128
