Label,Class,Dice,IoU,Sensitivity,Specificity,Precision,F1,HD95 (mm),HD_Max (mm),Pred_Vol (cm3),GT_Vol (cm3),VolErr (cm3),VolErr (%),TP,FP,FN,TN
1,Kidney,0.9322,0.873,0.9905,0.9989,0.8804,0.9322,9.6,19.5,352.09,312.96,39.13,12.5,91846,12477,883,11314774
2,Tumour,0.8733,0.775,0.8091,1.0,0.9484,0.8733,5.41,7.65,18.903,22.157,-3.253,-14.68,5312,289,1253,11413126
